"cohort","total_n","characteristic","analytic_n","estimate","lower","upper"
"Full proxy",40,"age",40,41.1243047079794,36.3805785744475,45.8680308415113
"Full proxy",40,"non_hispanic_white",40,0.705991058396216,0.418541890534521,0.889017731194014
"Full proxy",40,"non_hispanic_black",40,0.0493235070458777,0.0188455037476672,0.122917192499691
"Full proxy",40,"mexican_american",40,0.0233767660487485,0.00619518329626148,0.0841734137611727
"Full proxy",40,"other_hispanic",40,0.00949313624044247,0.00127560377647907,0.0670923444540663
"Full proxy",40,"other_or_multiracial",40,0.211815532352117,0.0532438716881346,0.56220752374858
"Full proxy",40,"poverty_income_ratio",38,4.53231111339354,4.20294980366783,4.86167242311925
"Full proxy",40,"college_graduate",39,0.806939573501243,0.628370241510223,0.91175543235949
"Full proxy",40,"bmi",38,26.8467146527054,25.4017055834057,28.2917237220052
"Full proxy",40,"ever_smoked",39,0.563810391237159,0.339529496389,0.764709229001115
"Higher-certainty proxy",32,"age",32,43.1126064928653,38.1442474378693,48.0809655478613
"Higher-certainty proxy",32,"non_hispanic_white",32,0.67429645692646,0.36321198660409,0.882551240786321
"Higher-certainty proxy",32,"non_hispanic_black",32,0.0582912590614592,0.0217256605557557,0.147142408506466
"Higher-certainty proxy",32,"mexican_american",32,0.0276270121365968,0.00720720359124883,0.100069735035753
"Higher-certainty proxy",32,"other_hispanic",32,0.0112191305503006,0.00149445142371272,0.0792045510059416
"Higher-certainty proxy",32,"other_or_multiracial",32,0.228566139520049,0.0510103008547917,0.620228855930366
"Higher-certainty proxy",32,"poverty_income_ratio",31,4.53380658428602,4.17040614940769,4.89720701916434
"Higher-certainty proxy",32,"college_graduate",32,0.820994144971219,0.6291027698181,0.925382031261763
"Higher-certainty proxy",32,"bmi",30,27.0410940292364,25.3458532093533,28.7363348491194
"Higher-certainty proxy",32,"ever_smoked",32,0.583978743905741,0.342049647254069,0.791242308078661
"Higher-certainty proxy excluding dual-indication alpha-blocker users",29,"age",29,42.8731039284541,37.8439784108183,47.9022294460899
"Higher-certainty proxy excluding dual-indication alpha-blocker users",29,"non_hispanic_white",29,0.67978581514773,0.3628630562472,0.887807067264793
"Higher-certainty proxy excluding dual-indication alpha-blocker users",29,"non_hispanic_black",29,0.0536712678360799,0.0189114958448699,0.143007547502378
"Higher-certainty proxy excluding dual-indication alpha-blocker users",29,"mexican_american",29,0.0248055847986917,0.00564530720405481,0.10230547016359
"Higher-certainty proxy excluding dual-indication alpha-blocker users",29,"other_hispanic",29,0.0113104640098531,0.00150529873255376,0.0798749994890552
"Higher-certainty proxy excluding dual-indication alpha-blocker users",29,"other_or_multiracial",29,0.230426866263757,0.0514542997409087,0.62303045943565
"Higher-certainty proxy excluding dual-indication alpha-blocker users",29,"poverty_income_ratio",28,4.56325477878513,4.20639903456617,4.9201105230041
"Higher-certainty proxy excluding dual-indication alpha-blocker users",29,"college_graduate",29,0.82767774874679,0.63350001522823,0.930296555270199
"Higher-certainty proxy excluding dual-indication alpha-blocker users",29,"bmi",28,27.0333712734806,25.3335677042551,28.7331748427061
"Higher-certainty proxy excluding dual-indication alpha-blocker users",29,"ever_smoked",29,0.585686502510424,0.341966789747456,0.793616663310196
"Full proxy excluding 2009-2012",35,"age",35,41.9713155820596,36.9561921200691,46.9864390440501
"Full proxy excluding 2009-2012",35,"non_hispanic_white",35,0.686608958182862,0.384766908431399,0.884728423559586
"Full proxy excluding 2009-2012",35,"non_hispanic_black",35,0.0546490369568792,0.0205973237738806,0.137114271604022
"Full proxy excluding 2009-2012",35,"mexican_american",35,0.0259007890942534,0.00680561264621575,0.0935278797508683
"Full proxy excluding 2009-2012",35,"other_hispanic",35,0.0105181238117821,0.00140677175382318,0.074253657668364
"Full proxy excluding 2009-2012",35,"other_or_multiracial",35,0.222323091968821,0.0521806365850635,0.597508261829418
"Full proxy excluding 2009-2012",35,"poverty_income_ratio",34,4.49710171936694,4.13791894094837,4.8562844977855
"Full proxy excluding 2009-2012",35,"college_graduate",34,0.785662159519423,0.589514969945303,0.903434857398079
"Full proxy excluding 2009-2012",35,"bmi",33,27.1245248676742,25.5556834557468,28.6933662796015
"Full proxy excluding 2009-2012",35,"ever_smoked",34,0.593677238168077,0.359454540791018,0.791849229450764
